#class tools::wcsv::ntuple
#title Per-rod Left/Right photon counts per event
#separator 44
#vector_separator 59
#column int EventID
#column int iz
#column int iy
#column int Left
#column int Right
7,1,3,0,0
7,2,0,0,0
7,2,1,0,0
7,2,2,0,0
7,2,3,0,0
7,3,0,0,0
7,3,1,0,0
7,3,2,0,0
7,3,3,0,0
8,0,0,0,0
8,0,1,0,0
8,0,2,0,0
8,0,3,0,0
8,1,0,0,0
8,1,1,0,0
8,1,2,0,0
8,1,3,0,0
8,2,0,0,0
8,2,1,0,0
8,2,2,0,0
8,2,3,0,0
8,3,0,0,0
8,3,1,0,0
8,3,2,0,0
8,3,3,0,0
9,0,0,0,0
9,0,1,0,0
9,0,2,0,0
9,0,3,0,0
9,1,0,0,0
9,1,1,0,0
9,1,2,0,0
9,1,3,0,0
9,2,0,0,0
9,2,1,0,0
9,2,2,0,0
9,2,3,0,0
9,3,0,0,0
9,3,1,0,0
9,3,2,0,0
9,3,3,0,0
10,0,0,0,0
10,0,1,0,0
10,0,2,0,0
10,0,3,0,0
10,1,0,0,0
10,1,1,0,0
10,1,2,0,0
10,1,3,0,0
10,2,0,0,0
10,2,1,0,0
10,2,2,0,0
10,2,3,0,0
10,3,0,0,0
10,3,1,0,0
10,3,2,0,0
10,3,3,0,0
11,0,0,0,0
11,0,1,0,0
11,0,2,0,0
11,0,3,0,0
11,1,0,0,0
11,1,1,0,0
11,1,2,0,0
11,1,3,0,0
11,2,0,0,0
11,2,1,0,0
11,2,2,0,0
11,2,3,0,0
11,3,0,0,0
11,3,1,0,0
11,3,2,0,0
11,3,3,0,0
12,0,0,0,0
12,0,1,0,0
12,0,2,0,0
12,0,3,0,0
12,1,0,0,0
12,1,1,0,0
12,1,2,0,0
12,1,3,0,0
12,2,0,0,0
12,2,1,0,0
12,2,2,0,0
12,2,3,0,0
12,3,0,0,0
12,3,1,0,0
12,3,2,0,0
12,3,3,0,0
13,0,0,0,0
13,0,1,0,0
13,0,2,0,0
13,0,3,0,0
13,1,0,0,0
13,1,1,0,0
13,1,2,0,0
13,1,3,0,0
13,2,0,0,0
13,2,1,0,0
13,2,2,0,0
13,2,3,1,0
13,3,0,0,0
13,3,1,0,0
13,3,2,0,0
13,3,3,0,0
14,0,0,0,0
14,0,1,0,0
14,0,2,0,0
14,0,3,0,0
14,1,0,1,0
14,1,1,0,0
14,1,2,0,0
14,1,3,0,0
14,2,0,0,0
14,2,1,0,0
14,2,2,0,0
14,2,3,0,0
14,3,0,2,0
14,3,1,0,0
14,3,2,0,0
14,3,3,0,0
15,0,0,0,0
15,0,1,0,0
15,0,2,0,0
15,0,3,0,0
15,1,0,0,0
15,1,1,0,0
15,1,2,0,0
15,1,3,0,0
15,2,0,0,0
15,2,1,0,0
15,2,2,0,0
15,2,3,0,0
15,3,0,0,0
15,3,1,0,0
15,3,2,0,0
15,3,3,0,0
16,0,0,0,0
16,0,1,0,0
16,0,2,0,0
16,0,3,0,0
16,1,0,0,0
16,1,1,0,0
16,1,2,0,1
16,1,3,0,0
16,2,0,0,0
16,2,1,0,0
16,2,2,0,0
16,2,3,0,0
16,3,0,0,0
16,3,1,0,0
16,3,2,0,0
16,3,3,0,0
17,0,0,0,0
17,0,1,0,0
17,0,2,0,0
17,0,3,0,0
17,1,0,0,0
17,1,1,0,0
17,1,2,0,0
17,1,3,0,0
17,2,0,0,0
17,2,1,0,0
17,2,2,0,0
17,2,3,0,0
17,3,0,0,0
17,3,1,0,0
17,3,2,0,0
17,3,3,0,0
18,0,0,0,0
18,0,1,0,0
18,0,2,0,0
18,0,3,0,0
18,1,0,0,0
18,1,1,0,0
18,1,2,0,0
18,1,3,0,0
18,2,0,0,0
18,2,1,0,0
18,2,2,0,0
18,2,3,0,0
18,3,0,0,0
18,3,1,0,0
18,3,2,0,0
18,3,3,0,0
19,0,0,0,0
19,0,1,0,0
19,0,2,0,0
19,0,3,0,0
19,1,0,0,0
19,1,1,0,0
19,1,2,0,0
19,1,3,0,0
19,2,0,0,0
19,2,1,0,0
19,2,2,0,0
19,2,3,0,0
19,3,0,0,0
19,3,1,0,0
19,3,2,0,0
19,3,3,0,0
20,0,0,0,0
20,0,1,0,0
20,0,2,0,0
20,0,3,0,0
20,1,0,0,0
20,1,1,0,0
20,1,2,0,0
20,1,3,0,0
20,2,0,0,0
20,2,1,0,0
20,2,2,0,0
20,2,3,0,0
20,3,0,0,0
20,3,1,0,0
20,3,2,0,0
20,3,3,0,0
21,0,0,0,0
21,0,1,0,0
21,0,2,0,0
